param nLayers := 11;
param weight :=
 1 source 23 0
 1 source 24 0
 1 source 25 0
 1 source 26 0
 1 source 27 0
 1 source 28 0
 1 source 29 0
 1 source 30 0
 1 source 31 0
 1 source 32 0
 1 source 33 0
 1 1 destination 0 
 1 2 destination 0 
 1 3 destination 0 
 1 4 destination 0 
 1 5 destination 0 
 1 6 destination 0 
 1 7 destination 0 
 1 8 destination 0 
 1 9 destination 0 
 1 10 destination 0 
 1 11 destination 0 
 1 23 2806 1
 1 23 2806 0
 1 2806 14367 1
 1 2806 14367 0
 1 2807 14368 1
 1 2807 14368 0
 1 2808 14369 1
 1 2808 14369 0
 1 2809 14370 1
 1 2809 14370 0
 1 2810 14371 1
 1 2810 14371 0
 1 2811 14372 1
 1 2811 14372 0
 1 2812 14373 1
 1 2812 14373 0
 1 2813 14374 1
 1 2813 14374 0
 1 2814 14375 1
 1 2814 14375 0
 1 2815 14376 1
 1 2815 14376 0
 1 2816 destination 0
 1 14367 55122 1
 1 14367 55122 0
 1 14368 55123 1
 1 14368 55123 0
 1 14369 55124 1
 1 14369 55124 0
 1 14370 55125 1
 1 14370 55125 0
 1 14371 55126 1
 1 14371 55126 0
 1 14372 55127 1
 1 14372 55127 0
 1 14373 55128 1
 1 14373 55128 0
 1 14374 55129 1
 1 14374 55129 0
 1 14375 55130 1
 1 14375 55130 0
 1 14376 55131 1
 1 14376 55131 0
 1 14377 destination 0
 1 55122 35905 1
 1 55122 35905 0
 1 55123 35906 1
 1 55123 35906 0
 1 55124 35907 1
 1 55124 35907 0
 1 55125 35908 1
 1 55125 35908 0
 1 55126 35909 1
 1 55126 35909 0
 1 55127 35910 1
 1 55127 35910 0
 1 55128 35911 1
 1 55128 35911 0
 1 55129 35912 1
 1 55129 35912 0
 1 55130 35913 1
 1 55130 35913 0
 1 55131 35914 1
 1 55131 35914 0
 1 55132 destination 0
 1 35905 47708 1
 1 35905 47708 0
 1 35906 47709 1
 1 35906 47709 0
 1 35907 47710 1
 1 35907 47710 0
 1 35908 47711 1
 1 35908 47711 0
 1 35909 47712 1
 1 35909 47712 0
 1 35910 47713 1
 1 35910 47713 0
 1 35911 47714 1
 1 35911 47714 0
 1 35912 47715 1
 1 35912 47715 0
 1 35913 47716 1
 1 35913 47716 0
 1 35914 47717 1
 1 35914 47717 0
 1 35915 destination 0
 1 47708 15676 1
 1 47708 15676 0
 1 47709 15677 1
 1 47709 15677 0
 1 47710 15678 1
 1 47710 15678 0
 1 47711 15679 1
 1 47711 15679 0
 1 47712 15680 1
 1 47712 15680 0
 1 47713 15681 1
 1 47713 15681 0
 1 47714 15682 1
 1 47714 15682 0
